Subject	Day	MHC (nM)	SEM	Time(min)	Replicates
1	1	2.230216052	0.050450386	0	3
1	1	2.70277911	0.066174787	10	3
1	1	5.011213827	0.186290681	20	3
1	1	5.745793119	0.239591487	30	3
1	1	6.620615819	0.312565343	40	3
1	1	5.383301713	0.212379441	50	1
1	1	4.552127082	0.156675933	60	3
1	1	3.264116446	0.088767896	70	3
1	1	3.125442999	0.082791108	80	2
1	1	2.355699292	0.054332027	90	1
1	1	2.912723729	0.074127165	100	3
1	1	2.927813302	0.07472164	110	3
1	1	3.510083297	0.100007169	120	3
1	1	4.49276912	0.153054452	130	3
1	1	3.817116046	0.115182088	140	2
1	1	2.433418415	0.056842682	150	3
1	1	2.421946426	0.056466962	160	3
1	1	1.416851296	0.030441045	170	3
1	1	1.348661954	0.02916902	180	3
1	1	1.110566775	0.025219419	190	2
1	1	0.963416987	0.023160835	200	1
1	1	1.118710172	0.025341873	210	3
1	1	0.952894491	0.023024819	220	3
1	1	1.082592994	0.024805586	230	3
1	1	0.891966165	0.022266615	240	3
1	1	0.966935922	0.023206654	250	3
1	1	1.34728803	0.029144035	260	3
1	1	1.002441009	0.023678308	270	1
1	1	0.614693709	0.019448714	280	2
1	1	0.390712958	0.01792972	290	2
1	1	0.774286069	0.020943957	300	3
1	1	0.969285059	0.023237335	310	3
1	1	1.508512377	0.032249753	320	3
1	1	2.129993124	0.047502721	330	3
1	1	1.744716476	0.037433046	340	3
1	1	1.214708971	0.026852865	350	3
1	1	2.16101559	0.048400645	360	2
1	1	3.11529473	0.082363908	370	3
1	1	1.722757018	0.03691943	380	3
1	1	1.058005889	0.024450571	390	3
1	1	1.066581675	0.024573471	400	3
1	1	1.317918338	0.028616035	410	2
1	1	0.71962503	0.020393141	420	3
1	1	0.30611053	0.017532063	430	3
1	1	0.376346514	0.017855387	440	3
1	1	0.092407531	0.016957599	450	2
1	1	0.850473367	0.021778936	460	3
1	1	0.126935592	0.017008685	470	3
1	1	0.185480214	0.017132059	480	3
1	1	0.374716205	0.017847128	490	2
1	1	0.906747404	0.022445954	500	3
1	1	0.915896204	0.022558433	510	3
1	1	0.765769898	0.020855489	520	2
1	1	1.303692362	0.028364468	530	3
1	1	1.46231016	0.031323898	540	3
1	1	1.03731163	0.024158087	550	3
1	1	0.44177513	0.018216455	560	3
1	1	0.516246228	0.018697701	570	3
1	1	1.460162743	0.031281566	580	2
1	1	0.309164988	0.017544739	590	3
1	1	0.309930118	0.017547935	600	3
